,Player-Season,Season,Assists
1174,Rod Strickland (1997-98),1997-98,3
1176,Rod Strickland (1997-98),1997-98,10
1177,Rod Strickland (1997-98),1997-98,16
1175,Rod Strickland (1997-98),1997-98,12
1179,Rod Strickland (1997-98),1997-98,10
1180,Rod Strickland (1997-98),1997-98,6
1181,Rod Strickland (1997-98),1997-98,15
1182,Rod Strickland (1997-98),1997-98,8
1183,Rod Strickland (1997-98),1997-98,13
1184,Rod Strickland (1997-98),1997-98,9
1185,Rod Strickland (1997-98),1997-98,5
1070,Mark Jackson (1996-97),1996-97,13
1078,Mark Jackson (1996-97),1996-97,7
1071,Mark Jackson (1996-97),1996-97,8
1072,Mark Jackson (1996-97),1996-97,9
1073,Mark Jackson (1996-97),1996-97,13
1074,Mark Jackson (1996-97),1996-97,15
1075,Mark Jackson (1996-97),1996-97,19
1076,Mark Jackson (1996-97),1996-97,5
1077,Mark Jackson (1996-97),1996-97,4
1087,Mark Jackson (1996-97),1996-97,17
1079,Mark Jackson (1996-97),1996-97,10
1080,Mark Jackson (1996-97),1996-97,14
1081,Mark Jackson (1996-97),1996-97,14
1082,Mark Jackson (1996-97),1996-97,6
1083,Mark Jackson (1996-97),1996-97,4
1084,Mark Jackson (1996-97),1996-97,16
1085,Mark Jackson (1996-97),1996-97,14
1086,Mark Jackson (1996-97),1996-97,16
1068,Mark Jackson (1996-97),1996-97,9
1069,Mark Jackson (1996-97),1996-97,7
1050,Mark Jackson (1996-97),1996-97,7
1067,Mark Jackson (1996-97),1996-97,11
1066,Mark Jackson (1996-97),1996-97,17
1049,Mark Jackson (1996-97),1996-97,12
1090,Mark Jackson (1996-97),1996-97,9
1051,Mark Jackson (1996-97),1996-97,0
1052,Mark Jackson (1996-97),1996-97,9
1053,Mark Jackson (1996-97),1996-97,15
1054,Mark Jackson (1996-97),1996-97,8
1055,Mark Jackson (1996-97),1996-97,3
1056,Mark Jackson (1996-97),1996-97,10
1057,Mark Jackson (1996-97),1996-97,10
1058,Mark Jackson (1996-97),1996-97,5
1059,Mark Jackson (1996-97),1996-97,11
1060,Mark Jackson (1996-97),1996-97,13
1061,Mark Jackson (1996-97),1996-97,19
1062,Mark Jackson (1996-97),1996-97,9
1063,Mark Jackson (1996-97),1996-97,12
1064,Mark Jackson (1996-97),1996-97,10
1065,Mark Jackson (1996-97),1996-97,4
1089,Mark Jackson (1996-97),1996-97,10
1088,Mark Jackson (1996-97),1996-97,12
1091,Mark Jackson (1996-97),1996-97,12
1111,Mark Jackson (1996-97),1996-97,10
1113,Mark Jackson (1996-97),1996-97,6
1114,Mark Jackson (1996-97),1996-97,7
1115,Mark Jackson (1996-97),1996-97,4
1116,Mark Jackson (1996-97),1996-97,13
1117,Mark Jackson (1996-97),1996-97,8
1118,Mark Jackson (1996-97),1996-97,1
1119,Mark Jackson (1996-97),1996-97,8
1120,Mark Jackson (1996-97),1996-97,11
1121,Mark Jackson (1996-97),1996-97,16
1122,Mark Jackson (1996-97),1996-97,12
1123,Mark Jackson (1996-97),1996-97,13
1124,Mark Jackson (1996-97),1996-97,15
1125,Mark Jackson (1996-97),1996-97,14
1126,Mark Jackson (1996-97),1996-97,14
1127,Mark Jackson (1996-97),1996-97,16
1128,Mark Jackson (1996-97),1996-97,16
1129,Mark Jackson (1996-97),1996-97,10
1112,Mark Jackson (1996-97),1996-97,13
1130,Mark Jackson (1996-97),1996-97,7
1110,Mark Jackson (1996-97),1996-97,12
1100,Mark Jackson (1996-97),1996-97,12
1109,Mark Jackson (1996-97),1996-97,18
1092,Mark Jackson (1996-97),1996-97,22
1093,Mark Jackson (1996-97),1996-97,11
1094,Mark Jackson (1996-97),1996-97,13
1095,Mark Jackson (1996-97),1996-97,16
1097,Mark Jackson (1996-97),1996-97,12
1098,Mark Jackson (1996-97),1996-97,9
1099,Mark Jackson (1996-97),1996-97,15
1096,Mark Jackson (1996-97),1996-97,18
1101,Mark Jackson (1996-97),1996-97,17
1103,Mark Jackson (1996-97),1996-97,11
1108,Mark Jackson (1996-97),1996-97,11
1104,Mark Jackson (1996-97),1996-97,13
1105,Mark Jackson (1996-97),1996-97,17
1106,Mark Jackson (1996-97),1996-97,17
1107,Mark Jackson (1996-97),1996-97,17
1102,Mark Jackson (1996-97),1996-97,12
993,John Stockton (1995-96),1995-96,12
995,John Stockton (1995-96),1995-96,11
994,John Stockton (1995-96),1995-96,7
989,John Stockton (1995-96),1995-96,6
992,John Stockton (1995-96),1995-96,8
991,John Stockton (1995-96),1995-96,12
990,John Stockton (1995-96),1995-96,15
997,John Stockton (1995-96),1995-96,12
996,John Stockton (1995-96),1995-96,9
967,John Stockton (1995-96),1995-96,4
998,John Stockton (1995-96),1995-96,14
999,John Stockton (1995-96),1995-96,10
1000,John Stockton (1995-96),1995-96,16
1001,John Stockton (1995-96),1995-96,10
1002,John Stockton (1995-96),1995-96,11
1003,John Stockton (1995-96),1995-96,11
1004,John Stockton (1995-96),1995-96,11
1005,John Stockton (1995-96),1995-96,11
987,John Stockton (1995-96),1995-96,17
988,John Stockton (1995-96),1995-96,10
978,John Stockton (1995-96),1995-96,12
986,John Stockton (1995-96),1995-96,13
985,John Stockton (1995-96),1995-96,7
1008,John Stockton (1995-96),1995-96,10
968,John Stockton (1995-96),1995-96,9
969,John Stockton (1995-96),1995-96,11
970,John Stockton (1995-96),1995-96,14
971,John Stockton (1995-96),1995-96,6
972,John Stockton (1995-96),1995-96,11
973,John Stockton (1995-96),1995-96,11
974,John Stockton (1995-96),1995-96,8
975,John Stockton (1995-96),1995-96,17
976,John Stockton (1995-96),1995-96,16
977,John Stockton (1995-96),1995-96,13
979,John Stockton (1995-96),1995-96,10
980,John Stockton (1995-96),1995-96,7
981,John Stockton (1995-96),1995-96,8
982,John Stockton (1995-96),1995-96,9
983,John Stockton (1995-96),1995-96,15
984,John Stockton (1995-96),1995-96,16
1007,John Stockton (1995-96),1995-96,14
1006,John Stockton (1995-96),1995-96,10
1009,John Stockton (1995-96),1995-96,6
1030,John Stockton (1995-96),1995-96,15
1032,John Stockton (1995-96),1995-96,12
1033,John Stockton (1995-96),1995-96,13
1034,John Stockton (1995-96),1995-96,14
1035,John Stockton (1995-96),1995-96,12
1036,John Stockton (1995-96),1995-96,12
1037,John Stockton (1995-96),1995-96,12
1038,John Stockton (1995-96),1995-96,14
1040,John Stockton (1995-96),1995-96,10
1041,John Stockton (1995-96),1995-96,7
1042,John Stockton (1995-96),1995-96,12
1043,John Stockton (1995-96),1995-96,10
1044,John Stockton (1995-96),1995-96,9
1045,John Stockton (1995-96),1995-96,9
1046,John Stockton (1995-96),1995-96,7
1047,John Stockton (1995-96),1995-96,11
1048,John Stockton (1995-96),1995-96,9
1010,John Stockton (1995-96),1995-96,16
1031,John Stockton (1995-96),1995-96,8
1039,John Stockton (1995-96),1995-96,14
1029,John Stockton (1995-96),1995-96,15
1019,John Stockton (1995-96),1995-96,15
1028,John Stockton (1995-96),1995-96,12
1012,John Stockton (1995-96),1995-96,15
1013,John Stockton (1995-96),1995-96,17
1014,John Stockton (1995-96),1995-96,10
1015,John Stockton (1995-96),1995-96,15
1016,John Stockton (1995-96),1995-96,5
1017,John Stockton (1995-96),1995-96,11
1018,John Stockton (1995-96),1995-96,12
1011,John Stockton (1995-96),1995-96,14
1020,John Stockton (1995-96),1995-96,16
1024,John Stockton (1995-96),1995-96,8
1026,John Stockton (1995-96),1995-96,10
1025,John Stockton (1995-96),1995-96,8
1027,John Stockton (1995-96),1995-96,6
1023,John Stockton (1995-96),1995-96,11
1022,John Stockton (1995-96),1995-96,7
1021,John Stockton (1995-96),1995-96,13
915,John Stockton (1994-95),1994-95,19
907,John Stockton (1994-95),1994-95,7
908,John Stockton (1994-95),1994-95,12
909,John Stockton (1994-95),1994-95,11
910,John Stockton (1994-95),1994-95,17
911,John Stockton (1994-95),1994-95,14
912,John Stockton (1994-95),1994-95,8
913,John Stockton (1994-95),1994-95,12
914,John Stockton (1994-95),1994-95,15
919,John Stockton (1994-95),1994-95,12
916,John Stockton (1994-95),1994-95,15
917,John Stockton (1994-95),1994-95,13
918,John Stockton (1994-95),1994-95,13
905,John Stockton (1994-95),1994-95,12
920,John Stockton (1994-95),1994-95,13
921,John Stockton (1994-95),1994-95,10
922,John Stockton (1994-95),1994-95,5
923,John Stockton (1994-95),1994-95,16
924,John Stockton (1994-95),1994-95,14
906,John Stockton (1994-95),1994-95,17
885,John Stockton (1994-95),1994-95,8
904,John Stockton (1994-95),1994-95,18
903,John Stockton (1994-95),1994-95,10
886,John Stockton (1994-95),1994-95,9
887,John Stockton (1994-95),1994-95,15
888,John Stockton (1994-95),1994-95,15
889,John Stockton (1994-95),1994-95,13
890,John Stockton (1994-95),1994-95,8
891,John Stockton (1994-95),1994-95,7
892,John Stockton (1994-95),1994-95,10
893,John Stockton (1994-95),1994-95,13
894,John Stockton (1994-95),1994-95,12
895,John Stockton (1994-95),1994-95,11
896,John Stockton (1994-95),1994-95,12
897,John Stockton (1994-95),1994-95,10
898,John Stockton (1994-95),1994-95,14
899,John Stockton (1994-95),1994-95,16
900,John Stockton (1994-95),1994-95,10
901,John Stockton (1994-95),1994-95,16
902,John Stockton (1994-95),1994-95,15
925,John Stockton (1994-95),1994-95,14
926,John Stockton (1994-95),1994-95,15
927,John Stockton (1994-95),1994-95,8
948,John Stockton (1994-95),1994-95,14
950,John Stockton (1994-95),1994-95,10
951,John Stockton (1994-95),1994-95,12
952,John Stockton (1994-95),1994-95,13
953,John Stockton (1994-95),1994-95,9
954,John Stockton (1994-95),1994-95,9
955,John Stockton (1994-95),1994-95,11
956,John Stockton (1994-95),1994-95,14
958,John Stockton (1994-95),1994-95,15
959,John Stockton (1994-95),1994-95,9
960,John Stockton (1994-95),1994-95,14
961,John Stockton (1994-95),1994-95,10
962,John Stockton (1994-95),1994-95,10
963,John Stockton (1994-95),1994-95,13
964,John Stockton (1994-95),1994-95,9
965,John Stockton (1994-95),1994-95,10
966,John Stockton (1994-95),1994-95,10
928,John Stockton (1994-95),1994-95,17
949,John Stockton (1994-95),1994-95,13
957,John Stockton (1994-95),1994-95,12
947,John Stockton (1994-95),1994-95,15
937,John Stockton (1994-95),1994-95,7
946,John Stockton (1994-95),1994-95,14
930,John Stockton (1994-95),1994-95,8
931,John Stockton (1994-95),1994-95,19
932,John Stockton (1994-95),1994-95,10
933,John Stockton (1994-95),1994-95,7
934,John Stockton (1994-95),1994-95,9
935,John Stockton (1994-95),1994-95,14
936,John Stockton (1994-95),1994-95,20
929,John Stockton (1994-95),1994-95,11
938,John Stockton (1994-95),1994-95,6
942,John Stockton (1994-95),1994-95,14
944,John Stockton (1994-95),1994-95,15
943,John Stockton (1994-95),1994-95,15
945,John Stockton (1994-95),1994-95,14
941,John Stockton (1994-95),1994-95,17
940,John Stockton (1994-95),1994-95,12
939,John Stockton (1994-95),1994-95,16
833,John Stockton (1993-94),1993-94,12
825,John Stockton (1993-94),1993-94,20
826,John Stockton (1993-94),1993-94,15
827,John Stockton (1993-94),1993-94,13
828,John Stockton (1993-94),1993-94,7
829,John Stockton (1993-94),1993-94,10
830,John Stockton (1993-94),1993-94,13
831,John Stockton (1993-94),1993-94,14
832,John Stockton (1993-94),1993-94,7
837,John Stockton (1993-94),1993-94,12
834,John Stockton (1993-94),1993-94,10
835,John Stockton (1993-94),1993-94,12
836,John Stockton (1993-94),1993-94,15
823,John Stockton (1993-94),1993-94,8
838,John Stockton (1993-94),1993-94,9
839,John Stockton (1993-94),1993-94,17
840,John Stockton (1993-94),1993-94,12
841,John Stockton (1993-94),1993-94,13
842,John Stockton (1993-94),1993-94,13
824,John Stockton (1993-94),1993-94,11
844,John Stockton (1993-94),1993-94,18
822,John Stockton (1993-94),1993-94,12
821,John Stockton (1993-94),1993-94,16
804,John Stockton (1993-94),1993-94,9
805,John Stockton (1993-94),1993-94,9
806,John Stockton (1993-94),1993-94,14
807,John Stockton (1993-94),1993-94,9
808,John Stockton (1993-94),1993-94,13
809,John Stockton (1993-94),1993-94,14
810,John Stockton (1993-94),1993-94,13
811,John Stockton (1993-94),1993-94,10
812,John Stockton (1993-94),1993-94,12
813,John Stockton (1993-94),1993-94,9
814,John Stockton (1993-94),1993-94,16
815,John Stockton (1993-94),1993-94,9
816,John Stockton (1993-94),1993-94,14
817,John Stockton (1993-94),1993-94,12
818,John Stockton (1993-94),1993-94,11
819,John Stockton (1993-94),1993-94,11
820,John Stockton (1993-94),1993-94,11
843,John Stockton (1993-94),1993-94,13
803,John Stockton (1993-94),1993-94,10
845,John Stockton (1993-94),1993-94,17
866,John Stockton (1993-94),1993-94,8
868,John Stockton (1993-94),1993-94,13
869,John Stockton (1993-94),1993-94,17
870,John Stockton (1993-94),1993-94,13
871,John Stockton (1993-94),1993-94,9
872,John Stockton (1993-94),1993-94,9
873,John Stockton (1993-94),1993-94,15
874,John Stockton (1993-94),1993-94,10
876,John Stockton (1993-94),1993-94,12
877,John Stockton (1993-94),1993-94,17
878,John Stockton (1993-94),1993-94,9
879,John Stockton (1993-94),1993-94,12
880,John Stockton (1993-94),1993-94,19
881,John Stockton (1993-94),1993-94,11
882,John Stockton (1993-94),1993-94,10
883,John Stockton (1993-94),1993-94,15
884,John Stockton (1993-94),1993-94,9
846,John Stockton (1993-94),1993-94,12
867,John Stockton (1993-94),1993-94,18
875,John Stockton (1993-94),1993-94,8
865,John Stockton (1993-94),1993-94,16
855,John Stockton (1993-94),1993-94,12
864,John Stockton (1993-94),1993-94,13
848,John Stockton (1993-94),1993-94,10
849,John Stockton (1993-94),1993-94,13
850,John Stockton (1993-94),1993-94,16
851,John Stockton (1993-94),1993-94,14
852,John Stockton (1993-94),1993-94,7
853,John Stockton (1993-94),1993-94,13
854,John Stockton (1993-94),1993-94,14
847,John Stockton (1993-94),1993-94,16
856,John Stockton (1993-94),1993-94,16
860,John Stockton (1993-94),1993-94,16
862,John Stockton (1993-94),1993-94,13
861,John Stockton (1993-94),1993-94,16
863,John Stockton (1993-94),1993-94,17
859,John Stockton (1993-94),1993-94,11
858,John Stockton (1993-94),1993-94,10
857,John Stockton (1993-94),1993-94,17
750,John Stockton (1992-93),1992-93,19
742,John Stockton (1992-93),1992-93,5
743,John Stockton (1992-93),1992-93,12
744,John Stockton (1992-93),1992-93,12
745,John Stockton (1992-93),1992-93,10
746,John Stockton (1992-93),1992-93,12
747,John Stockton (1992-93),1992-93,14
748,John Stockton (1992-93),1992-93,13
749,John Stockton (1992-93),1992-93,15
754,John Stockton (1992-93),1992-93,12
751,John Stockton (1992-93),1992-93,7
752,John Stockton (1992-93),1992-93,11
753,John Stockton (1992-93),1992-93,6
741,John Stockton (1992-93),1992-93,13
755,John Stockton (1992-93),1992-93,9
756,John Stockton (1992-93),1992-93,11
757,John Stockton (1992-93),1992-93,13
758,John Stockton (1992-93),1992-93,15
759,John Stockton (1992-93),1992-93,10
761,John Stockton (1992-93),1992-93,13
721,John Stockton (1992-93),1992-93,12
740,John Stockton (1992-93),1992-93,12
739,John Stockton (1992-93),1992-93,11
722,John Stockton (1992-93),1992-93,10
723,John Stockton (1992-93),1992-93,11
724,John Stockton (1992-93),1992-93,13
725,John Stockton (1992-93),1992-93,18
726,John Stockton (1992-93),1992-93,12
727,John Stockton (1992-93),1992-93,9
728,John Stockton (1992-93),1992-93,7
729,John Stockton (1992-93),1992-93,11
730,John Stockton (1992-93),1992-93,11
731,John Stockton (1992-93),1992-93,16
732,John Stockton (1992-93),1992-93,9
733,John Stockton (1992-93),1992-93,10
734,John Stockton (1992-93),1992-93,13
735,John Stockton (1992-93),1992-93,10
736,John Stockton (1992-93),1992-93,7
737,John Stockton (1992-93),1992-93,8
738,John Stockton (1992-93),1992-93,15
760,John Stockton (1992-93),1992-93,9
782,John Stockton (1992-93),1992-93,13
762,John Stockton (1992-93),1992-93,11
784,John Stockton (1992-93),1992-93,10
786,John Stockton (1992-93),1992-93,19
787,John Stockton (1992-93),1992-93,7
788,John Stockton (1992-93),1992-93,8
789,John Stockton (1992-93),1992-93,12
790,John Stockton (1992-93),1992-93,10
791,John Stockton (1992-93),1992-93,14
792,John Stockton (1992-93),1992-93,14
793,John Stockton (1992-93),1992-93,14
794,John Stockton (1992-93),1992-93,10
795,John Stockton (1992-93),1992-93,11
796,John Stockton (1992-93),1992-93,14
797,John Stockton (1992-93),1992-93,12
798,John Stockton (1992-93),1992-93,18
799,John Stockton (1992-93),1992-93,12
800,John Stockton (1992-93),1992-93,8
801,John Stockton (1992-93),1992-93,14
802,John Stockton (1992-93),1992-93,13
785,John Stockton (1992-93),1992-93,9
763,John Stockton (1992-93),1992-93,12
783,John Stockton (1992-93),1992-93,22
772,John Stockton (1992-93),1992-93,10
781,John Stockton (1992-93),1992-93,12
764,John Stockton (1992-93),1992-93,14
765,John Stockton (1992-93),1992-93,10
766,John Stockton (1992-93),1992-93,18
767,John Stockton (1992-93),1992-93,16
769,John Stockton (1992-93),1992-93,12
770,John Stockton (1992-93),1992-93,14
771,John Stockton (1992-93),1992-93,15
768,John Stockton (1992-93),1992-93,14
773,John Stockton (1992-93),1992-93,10
775,John Stockton (1992-93),1992-93,11
780,John Stockton (1992-93),1992-93,10
776,John Stockton (1992-93),1992-93,14
777,John Stockton (1992-93),1992-93,13
778,John Stockton (1992-93),1992-93,20
779,John Stockton (1992-93),1992-93,12
774,John Stockton (1992-93),1992-93,9
664,John Stockton (1991-92),1991-92,12
666,John Stockton (1991-92),1991-92,15
665,John Stockton (1991-92),1991-92,15
660,John Stockton (1991-92),1991-92,15
663,John Stockton (1991-92),1991-92,19
662,John Stockton (1991-92),1991-92,18
661,John Stockton (1991-92),1991-92,16
668,John Stockton (1991-92),1991-92,12
667,John Stockton (1991-92),1991-92,11
677,John Stockton (1991-92),1991-92,12
669,John Stockton (1991-92),1991-92,10
670,John Stockton (1991-92),1991-92,18
671,John Stockton (1991-92),1991-92,19
672,John Stockton (1991-92),1991-92,11
673,John Stockton (1991-92),1991-92,12
674,John Stockton (1991-92),1991-92,13
675,John Stockton (1991-92),1991-92,11
676,John Stockton (1991-92),1991-92,16
658,John Stockton (1991-92),1991-92,13
659,John Stockton (1991-92),1991-92,16
649,John Stockton (1991-92),1991-92,8
657,John Stockton (1991-92),1991-92,12
656,John Stockton (1991-92),1991-92,10
679,John Stockton (1991-92),1991-92,9
639,John Stockton (1991-92),1991-92,21
640,John Stockton (1991-92),1991-92,23
641,John Stockton (1991-92),1991-92,11
642,John Stockton (1991-92),1991-92,14
643,John Stockton (1991-92),1991-92,11
644,John Stockton (1991-92),1991-92,14
645,John Stockton (1991-92),1991-92,10
646,John Stockton (1991-92),1991-92,12
647,John Stockton (1991-92),1991-92,13
648,John Stockton (1991-92),1991-92,3
650,John Stockton (1991-92),1991-92,13
651,John Stockton (1991-92),1991-92,12
652,John Stockton (1991-92),1991-92,12
653,John Stockton (1991-92),1991-92,10
654,John Stockton (1991-92),1991-92,13
655,John Stockton (1991-92),1991-92,16
678,John Stockton (1991-92),1991-92,15
680,John Stockton (1991-92),1991-92,19
720,John Stockton (1991-92),1991-92,12
701,John Stockton (1991-92),1991-92,11
703,John Stockton (1991-92),1991-92,10
704,John Stockton (1991-92),1991-92,12
705,John Stockton (1991-92),1991-92,12
706,John Stockton (1991-92),1991-92,23
707,John Stockton (1991-92),1991-92,14
708,John Stockton (1991-92),1991-92,16
709,John Stockton (1991-92),1991-92,13
711,John Stockton (1991-92),1991-92,8
712,John Stockton (1991-92),1991-92,12
713,John Stockton (1991-92),1991-92,13
714,John Stockton (1991-92),1991-92,11
715,John Stockton (1991-92),1991-92,13
716,John Stockton (1991-92),1991-92,14
717,John Stockton (1991-92),1991-92,16
718,John Stockton (1991-92),1991-92,15
719,John Stockton (1991-92),1991-92,19
681,John Stockton (1991-92),1991-92,15
702,John Stockton (1991-92),1991-92,10
710,John Stockton (1991-92),1991-92,15
700,John Stockton (1991-92),1991-92,9
690,John Stockton (1991-92),1991-92,14
699,John Stockton (1991-92),1991-92,14
683,John Stockton (1991-92),1991-92,13
684,John Stockton (1991-92),1991-92,18
685,John Stockton (1991-92),1991-92,15
686,John Stockton (1991-92),1991-92,16
687,John Stockton (1991-92),1991-92,15
688,John Stockton (1991-92),1991-92,12
689,John Stockton (1991-92),1991-92,10
682,John Stockton (1991-92),1991-92,19
691,John Stockton (1991-92),1991-92,17
695,John Stockton (1991-92),1991-92,18
697,John Stockton (1991-92),1991-92,14
696,John Stockton (1991-92),1991-92,13
698,John Stockton (1991-92),1991-92,11
694,John Stockton (1991-92),1991-92,19
693,John Stockton (1991-92),1991-92,11
692,John Stockton (1991-92),1991-92,19
586,John Stockton (1990-91),1990-91,10
578,John Stockton (1990-91),1990-91,20
579,John Stockton (1990-91),1990-91,14
580,John Stockton (1990-91),1990-91,13
581,John Stockton (1990-91),1990-91,16
582,John Stockton (1990-91),1990-91,17
583,John Stockton (1990-91),1990-91,16
584,John Stockton (1990-91),1990-91,13
585,John Stockton (1990-91),1990-91,16
590,John Stockton (1990-91),1990-91,17
587,John Stockton (1990-91),1990-91,12
588,John Stockton (1990-91),1990-91,18
589,John Stockton (1990-91),1990-91,15
576,John Stockton (1990-91),1990-91,17
591,John Stockton (1990-91),1990-91,11
592,John Stockton (1990-91),1990-91,15
593,John Stockton (1990-91),1990-91,17
594,John Stockton (1990-91),1990-91,13
595,John Stockton (1990-91),1990-91,15
577,John Stockton (1990-91),1990-91,17
597,John Stockton (1990-91),1990-91,9
575,John Stockton (1990-91),1990-91,11
574,John Stockton (1990-91),1990-91,12
557,John Stockton (1990-91),1990-91,11
558,John Stockton (1990-91),1990-91,17
559,John Stockton (1990-91),1990-91,11
560,John Stockton (1990-91),1990-91,16
561,John Stockton (1990-91),1990-91,17
562,John Stockton (1990-91),1990-91,11
563,John Stockton (1990-91),1990-91,10
564,John Stockton (1990-91),1990-91,16
565,John Stockton (1990-91),1990-91,14
566,John Stockton (1990-91),1990-91,12
567,John Stockton (1990-91),1990-91,15
568,John Stockton (1990-91),1990-91,10
569,John Stockton (1990-91),1990-91,9
570,John Stockton (1990-91),1990-91,10
571,John Stockton (1990-91),1990-91,17
572,John Stockton (1990-91),1990-91,15
573,John Stockton (1990-91),1990-91,16
596,John Stockton (1990-91),1990-91,19
600,John Stockton (1990-91),1990-91,7
598,John Stockton (1990-91),1990-91,9
629,John Stockton (1990-91),1990-91,13
621,John Stockton (1990-91),1990-91,17
622,John Stockton (1990-91),1990-91,18
623,John Stockton (1990-91),1990-91,15
624,John Stockton (1990-91),1990-91,14
625,John Stockton (1990-91),1990-91,15
626,John Stockton (1990-91),1990-91,12
627,John Stockton (1990-91),1990-91,16
628,John Stockton (1990-91),1990-91,7
630,John Stockton (1990-91),1990-91,15
619,John Stockton (1990-91),1990-91,21
631,John Stockton (1990-91),1990-91,10
632,John Stockton (1990-91),1990-91,12
633,John Stockton (1990-91),1990-91,13
634,John Stockton (1990-91),1990-91,14
635,John Stockton (1990-91),1990-91,7
636,John Stockton (1990-91),1990-91,17
599,John Stockton (1990-91),1990-91,17
638,John Stockton (1990-91),1990-91,12
620,John Stockton (1990-91),1990-91,23
637,John Stockton (1990-91),1990-91,4
618,John Stockton (1990-91),1990-91,17
609,John Stockton (1990-91),1990-91,17
601,John Stockton (1990-91),1990-91,19
602,John Stockton (1990-91),1990-91,28
603,John Stockton (1990-91),1990-91,11
604,John Stockton (1990-91),1990-91,15
606,John Stockton (1990-91),1990-91,14
607,John Stockton (1990-91),1990-91,19
608,John Stockton (1990-91),1990-91,17
605,John Stockton (1990-91),1990-91,11
610,John Stockton (1990-91),1990-91,13
611,John Stockton (1990-91),1990-91,16
612,John Stockton (1990-91),1990-91,15
613,John Stockton (1990-91),1990-91,15
614,John Stockton (1990-91),1990-91,13
615,John Stockton (1990-91),1990-91,11
616,John Stockton (1990-91),1990-91,14
617,John Stockton (1990-91),1990-91,11
507,John Stockton (1989-90),1989-90,20
500,John Stockton (1989-90),1989-90,19
501,John Stockton (1989-90),1989-90,16
502,John Stockton (1989-90),1989-90,12
503,John Stockton (1989-90),1989-90,13
504,John Stockton (1989-90),1989-90,20
505,John Stockton (1989-90),1989-90,21
506,John Stockton (1989-90),1989-90,19
516,John Stockton (1989-90),1989-90,12
508,John Stockton (1989-90),1989-90,17
509,John Stockton (1989-90),1989-90,14
510,John Stockton (1989-90),1989-90,17
511,John Stockton (1989-90),1989-90,16
512,John Stockton (1989-90),1989-90,16
513,John Stockton (1989-90),1989-90,18
514,John Stockton (1989-90),1989-90,13
515,John Stockton (1989-90),1989-90,10
498,John Stockton (1989-90),1989-90,21
499,John Stockton (1989-90),1989-90,7
489,John Stockton (1989-90),1989-90,14
497,John Stockton (1989-90),1989-90,20
486,John Stockton (1989-90),1989-90,20
479,John Stockton (1989-90),1989-90,11
480,John Stockton (1989-90),1989-90,18
481,John Stockton (1989-90),1989-90,15
482,John Stockton (1989-90),1989-90,12
483,John Stockton (1989-90),1989-90,12
484,John Stockton (1989-90),1989-90,11
485,John Stockton (1989-90),1989-90,23
487,John Stockton (1989-90),1989-90,11
496,John Stockton (1989-90),1989-90,16
488,John Stockton (1989-90),1989-90,12
490,John Stockton (1989-90),1989-90,15
491,John Stockton (1989-90),1989-90,16
492,John Stockton (1989-90),1989-90,20
493,John Stockton (1989-90),1989-90,15
494,John Stockton (1989-90),1989-90,17
495,John Stockton (1989-90),1989-90,11
517,John Stockton (1989-90),1989-90,10
518,John Stockton (1989-90),1989-90,9
519,John Stockton (1989-90),1989-90,16
549,John Stockton (1989-90),1989-90,18
541,John Stockton (1989-90),1989-90,22
542,John Stockton (1989-90),1989-90,10
543,John Stockton (1989-90),1989-90,13
544,John Stockton (1989-90),1989-90,10
545,John Stockton (1989-90),1989-90,12
546,John Stockton (1989-90),1989-90,7
547,John Stockton (1989-90),1989-90,11
550,John Stockton (1989-90),1989-90,18
539,John Stockton (1989-90),1989-90,4
551,John Stockton (1989-90),1989-90,18
552,John Stockton (1989-90),1989-90,16
553,John Stockton (1989-90),1989-90,15
554,John Stockton (1989-90),1989-90,16
555,John Stockton (1989-90),1989-90,15
556,John Stockton (1989-90),1989-90,19
520,John Stockton (1989-90),1989-90,19
540,John Stockton (1989-90),1989-90,15
548,John Stockton (1989-90),1989-90,10
538,John Stockton (1989-90),1989-90,10
529,John Stockton (1989-90),1989-90,11
537,John Stockton (1989-90),1989-90,27
522,John Stockton (1989-90),1989-90,9
523,John Stockton (1989-90),1989-90,11
524,John Stockton (1989-90),1989-90,13
525,John Stockton (1989-90),1989-90,12
526,John Stockton (1989-90),1989-90,9
527,John Stockton (1989-90),1989-90,15
528,John Stockton (1989-90),1989-90,11
521,John Stockton (1989-90),1989-90,10
536,John Stockton (1989-90),1989-90,17
531,John Stockton (1989-90),1989-90,17
532,John Stockton (1989-90),1989-90,15
533,John Stockton (1989-90),1989-90,17
534,John Stockton (1989-90),1989-90,8
535,John Stockton (1989-90),1989-90,14
530,John Stockton (1989-90),1989-90,15
422,John Stockton (1988-89),1988-89,12
425,John Stockton (1988-89),1988-89,11
424,John Stockton (1988-89),1988-89,7
423,John Stockton (1988-89),1988-89,15
417,John Stockton (1988-89),1988-89,14
421,John Stockton (1988-89),1988-89,10
420,John Stockton (1988-89),1988-89,11
427,John Stockton (1988-89),1988-89,17
419,John Stockton (1988-89),1988-89,17
426,John Stockton (1988-89),1988-89,13
431,John Stockton (1988-89),1988-89,12
428,John Stockton (1988-89),1988-89,11
429,John Stockton (1988-89),1988-89,16
430,John Stockton (1988-89),1988-89,21
432,John Stockton (1988-89),1988-89,9
433,John Stockton (1988-89),1988-89,11
434,John Stockton (1988-89),1988-89,17
435,John Stockton (1988-89),1988-89,15
436,John Stockton (1988-89),1988-89,6
